353520	792430	179.1
353525	792430	180
353530	792430	180.6
353535	792430	179.3
353540	792430	179.2
353545	792430	179.2
353550	792430	179.3
353555	792430	179.3
353560	792430	179.3
353565	792430	179.3
353570	792430	179.3
353575	792430	179.4
353580	792430	179.4
353520	792435	178.6
353525	792435	179.7
353530	792435	180.7
353535	792435	179.5
353540	792435	179.3
353545	792435	179.1
353550	792435	179.2
353555	792435	179.4
353560	792435	179.4
353565	792435	179.3
353570	792435	179.3
353575	792435	179.4
353580	792435	179.4
353520	792440	178.6
353525	792440	179.5
353530	792440	180.7
353535	792440	179.6
353540	792440	179.2
353545	792440	179.1
353550	792440	179.2
353555	792440	179.4
353560	792440	179.4
353565	792440	179.4
353570	792440	179.3
353575	792440	179.4
353580	792440	179.3
353520	792445	178.4
353525	792445	179.4
353530	792445	180.6
353535	792445	180
353540	792445	179.2
353545	792445	179.2
353550	792445	179.2
353555	792445	179.3
353560	792445	179.4
353565	792445	179.4
353570	792445	179.3
353575	792445	179.3
353580	792445	179.3
353520	792450	178.4
353525	792450	179.3
353530	792450	180.1
353535	792450	180.5
353540	792450	179.2
353545	792450	179.2
353550	792450	179.1
353555	792450	179.3
353560	792450	179.4
353565	792450	179.4
353570	792450	179.3
353575	792450	179.3
353580	792450	179.3
