353520	792430
353525	792430
353530	792430
353535	792430
353540	792430
353545	792430
353550	792430
353555	792430
353560	792430
353565	792430
353570	792430
353575	792430
353580	792430
353520	792435
353525	792435
353530	792435
353535	792435
353540	792435
353545	792435
353550	792435
353555	792435
353560	792435
353565	792435
353570	792435
353575	792435
353580	792435
353520	792440
353525	792440
353530	792440
353535	792440
353540	792440
353545	792440
353550	792440
353555	792440
353560	792440
353565	792440
353570	792440
353575	792440
353580	792440
353520	792445
353525	792445
353530	792445
353535	792445
353540	792445
353545	792445
353550	792445
353555	792445
353560	792445
353565	792445
353570	792445
353575	792445
353580	792445
353520	792450
353525	792450
353530	792450
353535	792450
353540	792450
353545	792450
353550	792450
353555	792450
353560	792450
353565	792450
353570	792450
353575	792450
353580	792450
